
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Industrial CO2 Emissions, GTCO2/year",37.3362001005,38.0095770212,34.3612826041,30.8647440219,26.6638471620,23.5176487812,20.0279934286,16.5635978390,12.0987422182,6.4296519675,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,68.6599805301
"Base abateable non-CO2 emission, GTCO2-E/year",9.9600000000,10.3062500000,10.6525000000,10.9987500000,11.3450000000,11.6912500000,12.0375000000,12.3837500000,12.7300000000,13.0762500000,13.4225000000,13.7687500000,14.1150000000,14.4612500000,14.8075000000,15.1537500000,15.5000000000
"Land emissions, GtCO2/year",5.9000000000,5.3100000000,4.7790000000,4.3011000000,3.8709900000,3.4838910000,3.1355019000,2.8219517100,2.5397565390,2.2857808851,2.0572027966,1.8514825169,1.6663342652,1.4997008387,1.3497307548,1.2147576794,1.0932819114
"Cumulative CO2 emissions, GtC ",633.5000000000,692.0668304699,750.4255007116,802.2439985349,848.0943095304,887.2060961671,921.3370862513,950.1417067122,973.7809135139,990.9348274778,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000
"Atmospheric fraction CO2 since 1765 ",0.4712119916,0.4733490456,0.4683852705,0.4628788466,0.4559145433,0.4497888789,0.4429820525,0.4358057013,0.4269788345,0.4158582604,0.4024659241,0.3949838035,0.3886040155,0.3829660072,0.3779091412,0.3733379153,0.4500879680
"Atmospheric fraction CO2 since 2020 ",0.0000000000,0.4964648389,0.4530701134,0.4315944640,0.4107552014,0.3962956981,0.3808508284,0.3649688896,0.3446300815,0.3177520051,0.2836374458,0.2632223832,0.2458150491,0.2304316708,0.2166339465,0.2041612976,0.4135748075
"Permanent C box",150.0930000000,162.7693529922,174.0249791864,183.9841245726,192.4794355152,199.8927534209,206.1490025064,211.2831451901,215.0084489900,216.9765785856,216.9754106686,216.9742511710,216.9730989083,216.9719538237,216.9708160849,216.9696858710,237.5991913520
"Slow C box",102.6980000000,113.0943618511,122.1081840131,129.8591413433,136.1761694739,141.4446164392,145.5864118309,148.6352343453,150.2982441428,150.2201058845,148.1838551812,146.1895778022,144.2343231564,142.3171467252,140.4374985397,138.5948530120,157.7506070738
"Medium C box",39.5340000000,44.7164927446,48.2737374233,50.5531867211,51.4824081603,51.5984436327,50.8373357659,49.2684502190,46.5761721669,42.4040951608,36.5943835571,31.6141896425,27.3366795459,23.6593302584,20.4956314816,17.7718302974,40.0896513238
"Fast C box",6.1865000000,7.0089708293,7.0813551717,6.9453286882,6.5205211883,6.1196263717,5.5630478589,4.8903473999,3.9009785006,2.4876580605,0.7122787290,0.2057888492,0.0599177492,0.0175802286,0.0051988462,0.0015498377,14.6485227281
